dataset,profiles,profiles_with_skills,pct_profiles_with_skills,avg_skill_count,median_skill_count,avg_token_count,median_token_count,avg_char_count,pct_current_description,pct_previous_description,avg_experience_count
500 dataset,452,393,86.94690265486726,13.849557522123893,19,268.76769911504425,136.5,1926.0818584070796,35.84070796460178,66.8141592920354,6.663716814159291
5k dataset,5865,4837,82.47229326513214,13.142369991474851,17,60.95106564364876,23,NA,34.953111679454345,40.23870417732309,6.280306905370844
