model,split,precision_micro,recall_micro,f1_micro,macro_f1,subset_accuracy
GLMNET,Test,0,0,0,0,0.2058823529411765
Logistic Regression,Test,0,0,0,0,0.2058823529411765
KNN,Test,0.2692307692307692,0.03608247422680412,0.06363636363636363,0.03375254375254374,0.2058823529411765
XGBoost,Test,0.2916666666666667,0.07216494845360824,0.11570247933884296,0.06325000535526851,0.1176470588235294
