dataset,profiles,profiles_with_zero_skills,min_skills_per_profile,p25_skills_per_profile,median_skills_per_profile,mean_skills_per_profile,p75_skills_per_profile,max_skills_per_profile
5k training dataset,5865,1028,0,6,17,13.142369991474851,20,28
KSB alumni external validation,650,291,0,0,6,8.593846153846155,20,27
